,subcategory_id,subcategory
0,subcat01,food trucks
1,subcat02,rock
2,subcat03,web
3,subcat04,plays
4,subcat05,documentary
5,subcat06,electric music
6,subcat07,drama
7,subcat08,indie rock
8,subcat09,wearables
9,subcat010,nonfiction
10,subcat011,animation
11,subcat012,video games
12,subcat013,shorts
13,subcat014,fiction
14,subcat015,photography books
15,subcat016,radio & podcasts
16,subcat017,metal
17,subcat018,jazz
18,subcat019,translations
19,subcat020,television
20,subcat021,mobile games
21,subcat022,world music
22,subcat023,science fiction
23,subcat024,audio
